id,username,created_at,lng,lat,text
1517738320570298369,Drew40683012,Sat Apr 23 05:33:08 +0000 2022,-75.117998,40.0048655,@EarlCarter6 @amongdareal @bigwilly040 @Prez215 Loser blocked me https://t.co/EvrN1QHuZI
1517738324307365889,Will_NOLA,Sat Apr 23 05:33:09 +0000 2022,-90.0559715,29.912164,"At least around me, it was younger folks. As much as it pains me to admit this, there are plenty of people here w/… https://t.co/vHhBjHdYxF"
1517738328946315264,tayzVAL,Sat Apr 23 05:33:10 +0000 2022,-121.3007305,38.7631605,What a beautiful night in Valorant https://t.co/UJ6QWgLumv
1517738330850574338,Guru_214,Sat Apr 23 05:33:10 +0000 2022,-96.961483,32.863917,Umm wut else
1517738331282366467,babyysierraaa,Sat Apr 23 05:33:11 +0000 2022,-117.104989,32.810012,The biggest fucken curb just hit my new car 😡
1517738332750503937,SendSunflowers,Sat Apr 23 05:33:11 +0000 2022,-92.4367735,38.3045585,So a friend- old boss actually- lit up a room. Life of the party. Laughed nonstop.  Know where this is going? H… https://t.co/zTo7fYy3WJ
1517738333232844801,16Rubytuesday7,Sat Apr 23 05:33:11 +0000 2022,-83.476207,41.605847999999995,@GioBruno1600 I knew he was a phony from day 1. He NEVER got my vote! ( Nor did any democrat ever)
1517738336965771264,Yaheauxhouse,Sat Apr 23 05:33:12 +0000 2022,-80.20726300000001,25.944446499999998,Once I seen you smoking that trash ass hookah you lost me long time ago lol
1517738339515965440,itsmaisieashton,Sat Apr 23 05:33:13 +0000 2022,-94.9028575,29.3044825,Love to know what this is like
1517738338920415233,TheGigaDragon,Sat Apr 23 05:33:12 +0000 2022,-83.662385,32.845954,@JamesGDavis @ilLupoItaliano @YazJPEG @_solstreet @_nftqueen_ @MagpieMoguls #Squaaaaad The #Charm Never Stops https://t.co/cNhbemq5Qt
1517738339952209921,JeevanSukhi,Sat Apr 23 05:33:13 +0000 2022,-86.611411,34.7060265,@BhagatSherehind The time we jointly share spaceEnrich your followers as everyone wants moreजय जय श्रीराम हर… https://t.co/YFJT2CNKWE
1517738339918655488,vanewpc,Sat Apr 23 05:33:13 +0000 2022,-87.65738063,41.8577221,It rains love... A rainy Friday for the soul! Solo date to see my favorite singer @mrleefields and it did not disap… https://t.co/2w2zJzJRXs
1517738341088727040,CharlieYankee14,Sat Apr 23 05:33:13 +0000 2022,-116.97167999999999,44.0275005,@blonde_opinion And as much as I love heavy-metal my ex was stuck on that one channel while I liked almost every kind of music there is.
1517738342497996800,clockework,Sat Apr 23 05:33:13 +0000 2022,-122.958344,49.2396535,So @BrattyBekka and I are playing Quantum Break for the first time and it's great! But also very.... unexpected.
1517738345723580417,chloencook9,Sat Apr 23 05:33:14 +0000 2022,-96.0673585,39.196591999999995,To be continued…
1517738346533076992,Big__Mike42,Sat Apr 23 05:33:14 +0000 2022,-84.644926,33.779824000000005,@QuayEvans30 Freaky Virgo
1517738347053133825,Majesty2You,Sat Apr 23 05:33:14 +0000 2022,-80.219911,26.212769,@Muufasa_ I wanna kno what u be using 📝 https://t.co/wXWoc0Feo0
1517738347417927680,lotsofloveish,Sat Apr 23 05:33:14 +0000 2022,-122.42311849999999,37.6587985,"@aleejandrito_94 Have all the fun, stay safe, and I miss you lots!!!! 💙"
1517738347078328320,tylerdanprice,Sat Apr 23 05:33:14 +0000 2022,-71.0887125,42.3136695,damn y am i so mean to @damexicanhokage https://t.co/5hxnT6wQ2s
1517738349859119104,Ucankissmygrits,Sat Apr 23 05:33:15 +0000 2022,-91.0907995,30.4591,These girls in here dressed like power rangers
